Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
78;19700170837;"Vitae";journal;"21452660, 01214004";0,136;Q4;15;12;37;544;15;32;0,23;45,33;Colombia;Latin America;"Universidad de Antioquia";"2009-2021";"Applied Microbiology and Biotechnology (Q4); Food Science (Q4); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q4)"
79;19700186845;"Ingenieria y Universidad";journal;"01232126";0,135;Q4;10;16;33;636;15;33;0,57;39,75;Colombia;Latin America;"Pontificia Universidad Javeriana";"2008-2021";"Engineering (miscellaneous) (Q4)"
80;28167;"Revista Colombiana de Obstetricia y Ginecologia";journal;"00347434";0,134;Q4;10;31;88;976;31;72;0,27;31,48;Colombia;Latin America;"Fed. Colombiana de Asoc. de Obstetricia y Ginecologia";"1960, 1962-1971, 1973-1996, 2007-2021";"Obstetrics and Gynecology (Q4)"
81;21100893272;"Lecturas de Economia";journal;"23230622, 01202596";0,133;Q4;7;20;48;813;14;48;0,12;40,65;Colombia;Latin America;"Universidad De Antioquia";"2005-2021";"Business, Management and Accounting (miscellaneous) (Q4); Economics and Econometrics (Q4); Finance (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4); Statistics, Probability and Uncertainty (Q4)"
82;33459;"Desarrollo y Sociedad";journal;"01203584";0,131;Q4;7;21;51;712;18;44;0,24;33,90;Colombia;Latin America;"Universidad de los Andes";"1979-1985, 1994, 2010-2021";"Development (Q4); Economics and Econometrics (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
83;21100891786;"Produccion y Limpia";journal;"23230703, 19090455";0,131;Q4;3;12;62;519;16;57;0,06;43,25;Colombia;Latin America;"Corporacion Universitaria Lasallista";"2018-2021";"Environmental Science (miscellaneous) (Q4); Management, Monitoring, Policy and Law (Q4)"
84;21100235613;"ACDI Anuario Colombiano de Derecho Internacional";journal;"20271131, 21454493";0,130;Q3;4;13;28;290;6;24;0,17;22,31;Colombia;Latin America;"Universidad del Rosario";"2012-2021";"Law (Q3)"
85;17700156215;"Cuadernos de Administracion";journal;"19007205, 01203592";0,130;Q4;10;5;32;313;12;30;0,48;62,60;Colombia;Latin America;"Pontificia Universidad Javeriana";"2008-2021";"Business and International Management (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4); Strategy and Management (Q4)"
86;21100888590;"Revista Interamericana de Bibliotecologia";journal;"25389866, 01200976";0,130;Q4;9;16;82;402;14;78;0,23;25,13;Colombia;Latin America;"Escuela Interamericana de Bibliotecologia";"2000-2021";"Library and Information Sciences (Q4)"
87;19400157258;"Salud Uninorte";journal;"20117531, 01205552";0,130;Q4;12;57;157;1803;49;138;0,31;31,63;Colombia;Latin America;"Universidad del Norte";"2002-2003, 2005-2021";"Medicine (miscellaneous) (Q4)"
88;21100447122;"Theologica Xaveriana";journal;"01203649, 2011219X";0,130;Q2;3;14;64;664;6;64;0,11;47,43;Colombia;Latin America;"Pontificia Universidad Javeriana";"2015-2021";"Religious Studies (Q2)"
89;21100812388;"Revista Criminalidad";journal;"17943108, 22565531";0,126;Q3;5;12;90;644;15;85;0,19;53,67;Colombia;Latin America;"Policia Nacional de Colombia";"2016-2021";"Arts and Humanities (miscellaneous) (Q3); Law (Q4); Social Psychology (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)"
