Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
31;19400157235;"Revista Colombiana de Ciencias Pecuarias";journal;"22562958, 01200690";0,209;Q3;17;25;98;741;61;90;0,58;29,64;Colombia;Latin America;"Universidad de Antioquia";"2008-2021";"Veterinary (miscellaneous) (Q3); Animal Science and Zoology (Q4)"
32;21100940511;"Territorios";journal;"01238418, 22157484";0,209;Q3;2;34;53;1250;13;53;0,25;36,76;Colombia;Latin America;"Universidad del Rosario";"2019-2021";"Geography, Planning and Development (Q3); Urban Studies (Q3)"
33;19700175084;"Revista Colombiana de Estadistica";journal;"01201751";0,208;Q4;17;20;41;663;48;36;0,71;33,15;Colombia;Latin America;"Universidad Nacional de Colombia";"2001-2021";"Statistics and Probability (Q4)"
34;21100940999;"Revista Latinoamericana de Ciencias Sociales, Ninez y Juventud";journal;"20277679, 1692715X";0,207;Q3;4;48;76;2195;42;74;0,55;45,73;Colombia;Latin America;"Revista Latinoamericana de Ciencias Sociales";"2019-2021";"Social Sciences (miscellaneous) (Q3); Developmental and Educational Psychology (Q4)"
35;12400154740;"Revista Facultad de Ingenieria";journal;"01206230, 24222844";0,206;Q3;13;36;207;1028;147;193;0,76;28,56;Colombia;Latin America;"Universidad de Antioquia";"2008-2022";"Engineering (miscellaneous) (Q3)"
36;21100934789;"Fuentes el Reventon Energetico";journal;"21458502, 16576527";0,202;Q4;3;15;35;385;11;32;0,31;25,67;Colombia;Latin America;"Universidad Industrial de Santander";"2019-2020";"Energy (miscellaneous) (Q4); Physical and Theoretical Chemistry (Q4)"
37;19700169822;"Ikala";journal;"01233432";0,199;Q2;6;39;97;1642;45;97;0,51;42,10;Colombia;Latin America;"Publishing University of Antioquia";"2013-2021";"Linguistics and Language (Q2); Education (Q4)"
38;20059;"Caldasia";journal;"03665232";0,198;Q3;16;22;114;866;68;107;0,51;39,36;Colombia;Latin America;"Universidad Nacional de Colombia";"1981, 1983-1984, 1986, 1989, 1992-1993, 1995-1997, 2008-2021";"Agricultural and Biological Sciences (miscellaneous) (Q3)"
39;21100897722;"Cuadernos de Geografia: Revista Colombiana de Geografia";journal;"0121215X, 22565442";0,196;Q3;4;25;84;1320;45;77;0,50;52,80;Colombia;Latin America;"Universidad Nacional de Colombia";"2018-2021";"Earth and Planetary Sciences (miscellaneous) (Q3); Environmental Science (miscellaneous) (Q3); Geography, Planning and Development (Q3)"
40;12600154771;"DYNA (Colombia)";journal;"00127353";0,196;Q3;20;63;446;2075;362;446;0,73;32,94;Colombia;Latin America;"Universidad Nacional de Colombia";"2008-2021";"Engineering (miscellaneous) (Q3)"
41;11600153630;"Innovar";journal;"01215051";0,196;Q3;13;51;131;3282;95;117;0,55;64,35;Colombia;Latin America;"Universidad Nacional de Colombia";"2008-2021";"Sociology and Political Science (Q3); Accounting (Q4); Marketing (Q4); Public Administration (Q4); Strategy and Management (Q4)"
42;21100792502;"Trashumante";journal;"23229675, 23229381";0,196;Q1;4;21;50;927;15;49;0,21;44,14;Colombia;Latin America;"Universidad de Antioquia";"2013-2021";"History (Q1); Social Sciences (miscellaneous) (Q3)"
43;19700174720;"Revista Colombiana de Entomologia";journal;"01200488";0,193;Q4;19;23;91;1039;51;86;0,31;45,17;Colombia;Latin America;"Sociedad Colombiana de Entomologia";"2004-2021";"Insect Science (Q4)"
44;19700173003;"Ingenieria e Investigacion";journal;"22488723, 01205609";0,190;Q3;14;31;87;956;76;80;0,60;30,84;Colombia;Latin America;"Universidad Nacional de Colombia";"2009-2022";"Engineering (miscellaneous) (Q3); Building and Construction (Q4)"
45;5600152973;"Analisis Politico";journal;"01214705";0,189;Q2;8;17;92;822;55;90;0,62;48,35;Colombia;Latin America;"Universidad Nacional de Colombia";"1996, 2007-2012, 2014-2021";"History (Q2); Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
46;7500153128;"Universitas Psychologica";journal;"16579267";0,189;Q4;27;15;203;698;133;202;0,55;46,53;Colombia;Latin America;"Pontificia Universidad Javeriana";"2007-2020";"Psychology (miscellaneous) (Q4); Social Psychology (Q4)"
47;10600153356;"Acta Colombiana de Psicologia";journal;"19099711, 01239155";0,186;Q4;14;29;85;1349;57;79;0,55;46,52;Colombia;Latin America;"Universidad Catolica de Colombia";"2007-2021";"Psychiatry and Mental Health (Q4); Psychology (miscellaneous) (Q4)"
48;19700166903;"Universitas Scientiarum";journal;"20271352, 01227483";0,186;Q3;12;15;60;578;54;60;0,75;38,53;Colombia;Latin America;"Pontificia Universidad Javeriana";"2009-2021";"Multidisciplinary (Q3)"
49;21100970236;"Estudios Gerenciales";journal;"01235923, 26656744";0,185;Q4;15;41;119;2354;82;119;0,69;57,41;Colombia;Latin America;"Universidad Icesi";"2009-2021";"Business and International Management (Q4); Economics and Econometrics (Q4); Finance (Q4); Management of Technology and Innovation (Q4); Marketing (Q4); Strategy and Management (Q4)"
50;20000195045;"Revista Colombiana de Antropologia";journal;"04866525";0,185;Q2;8;22;76;1309;32;75;0,38;59,50;Colombia;Latin America;"Instituto Colombiano de Antropologia e Historia";"2011-2021";"Archeology (arts and humanities) (Q2); Cultural Studies (Q2); History (Q2); Anthropology (Q3)"
51;21100224444;"Agronomia Colombiana";journal;"01209965";0,182;Q4;14;17;109;507;61;104;0,49;29,82;Colombia;Latin America;"Universidad Nacional de Colombia";"2010, 2012-2021";"Agronomy and Crop Science (Q4)"
52;5200152705;"Avances en Psicologia Latinoamericana";journal;"17944724";0,182;Q4;13;15;130;613;66;119;0,46;40,87;Colombia;Latin America;"Universidad del Rosario";"1983, 2006-2021";"Clinical Psychology (Q4)"
53;65755;"Acta Agronomica";journal;"00445959, 01202812";0,178;Q4;10;25;128;760;80;126;0,49;30,40;Colombia;Latin America;"Universidad Nacional de Colombia";"1968, 2012-2020";"Agronomy and Crop Science (Q4); Soil Science (Q4)"
54;21100810443;"Ciencia Tecnologia Agropecuaria";journal;"01228706, 25005308";0,176;Q4;6;59;81;2773;62;79;0,69;47,00;Colombia;Latin America;"Colombian Corporation of Agricultural Research (Corpoica)";"2016-2021";"Agricultural and Biological Sciences (miscellaneous) (Q4)"
55;21100815415;"Colombia Forestal";journal;"01200739, 2256201X";0,175;Q4;5;14;44;596;36;44;0,64;42,57;Colombia;Latin America;"Universidad Distrital Francisco Jose de Caldas";"2016-2021";"Forestry (Q4); Nature and Landscape Conservation (Q4); Soil Science (Q4)"
56;22595;"Revista de Salud Publica";journal;"01240064";0,175;Q4;25;28;288;755;139;283;0,36;26,96;Colombia;Latin America;"Universidad Nacional de Colombia";"2003-2021";"Public Health, Environmental and Occupational Health (Q4)"
