Rank;Sourceid;Title;Issn;SJR Best Quartile;H index;Total Docs. (2021);Country;Publisher;Coverage;Categories
72;21100903449;Revista de la Academia Colombiana de Ciencias Exactas, Fisicas y Naturales;23824980, 03703908;Q3;3;46;Colombia;Colombian Academy of Exact, Physical and Natural Sciences;2016, 2018-2021;"History and Philosophy of Science (Q3); Agricultural and Biological Sciences (miscellaneous) (Q4); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4); Earth and Planetary Sciences (miscellaneous) (Q4); Energy (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)"
73;21100793201;Historia y Memoria;20275137, 2322777X;Q2;3;22;Colombia;Universidad Pedagogica y Tecnologica de Colombia;2015-2021;History (Q2)
74;21101021053;Revista Colombiana de Computacion;16572831, 25392115;Q4;2;14;Colombia;Universidad Autonoma de Bucaramanga;2020-2021;Computer Science (miscellaneous) (Q4)
75;20600195529;Revista Colombiana de Sociologia;0120159X, 22565485;Q3;4;36;Colombia;Universidad Nacional de Colombia;2018-2021;"Arts and Humanities (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q4)"
76;19700173013;Co-herencia;17945887;Q2;6;29;Colombia;Universidad EAFIT;2009-2021;"History (Q2); Literature and Literary Theory (Q2); Music (Q2); Visual Arts and Performing Arts (Q2); Philosophy (Q3); Sociology and Political Science (Q4)"
77;21100203943;Cuadernos de Musica, Artes Visuales y Artes Escenicas;17946670, 22159959;Q2;3;27;Colombia;Pontificia Universidad Javeriana;2012-2021;"Music (Q2); Visual Arts and Performing Arts (Q2); Linguistics and Language (Q3)"
78;19700170837;Vitae;21452660, 01214004;Q4;15;12;Colombia;Universidad de Antioquia;2009-2021;"Applied Microbiology and Biotechnology (Q4); Food Science (Q4); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q4)"
79;19700186845;Ingenieria y Universidad;1232126;Q4;10;16;Colombia;Pontificia Universidad Javeriana;2008-2021;Engineering (miscellaneous) (Q4)
80;28167;Revista Colombiana de Obstetricia y Ginecologia;347434;Q4;10;31;Colombia;Fed. Colombiana de Asoc. de Obstetricia y Ginecologia;1960, 1962-1971, 1973-1996, 2007-2021;Obstetrics and Gynecology (Q4)
81;21100893272;Lecturas de Economia;23230622, 01202596;Q4;7;20;Colombia;Universidad De Antioquia;2005-2021;"Business, Management and Accounting (miscellaneous) (Q4); Economics and Econometrics (Q4); Finance (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4); Statistics, Probability and Uncertainty (Q4)"
82;33459;Desarrollo y Sociedad;1203584;Q4;7;21;Colombia;Universidad de los Andes;1979-1985, 1994, 2010-2021;"Development (Q4); Economics and Econometrics (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
83;21100891786;Produccion y Limpia;23230703, 19090455;Q4;3;12;Colombia;Corporacion Universitaria Lasallista;2018-2021;"Environmental Science (miscellaneous) (Q4); Management, Monitoring, Policy and Law (Q4)"
84;21100235613;ACDI Anuario Colombiano de Derecho Internacional;20271131, 21454493;Q3;4;13;Colombia;Universidad del Rosario;2012-2021;Law (Q3)
85;17700156215;Cuadernos de Administracion;19007205, 01203592;Q4;10;5;Colombia;Pontificia Universidad Javeriana;2008-2021;"Business and International Management (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4); Strategy and Management (Q4)"
86;21100888590;Revista Interamericana de Bibliotecologia;25389866, 01200976;Q4;9;16;Colombia;Escuela Interamericana de Bibliotecologia;2000-2021;Library and Information Sciences (Q4)
87;19400157258;Salud Uninorte;20117531, 01205552;Q4;12;57;Colombia;Universidad del Norte;2002-2003, 2005-2021;Medicine (miscellaneous) (Q4)
88;21100447122;Theologica Xaveriana;01203649, 2011219X;Q2;3;14;Colombia;Pontificia Universidad Javeriana;2015-2021;Religious Studies (Q2)
89;21100812388;Revista Criminalidad;17943108, 22565531;Q3;5;12;Colombia;Policia Nacional de Colombia;2016-2021;"Arts and Humanities (miscellaneous) (Q3); Law (Q4); Social Psychology (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)"
90;5700167217;Revista de Economia Institucional;1245996;Q4;9;16;Colombia;Universidad Externado de Colombia;2009-2021;Economics, Econometrics and Finance (miscellaneous) (Q4)
91;20265;Revista Facultad de Medicina;23573848, 01200011;Q4;10;36;Colombia;Universidad Nacional de Colombia;1945-1949, 1951-1966, 1972-1974, 2007-2021;Medicine (miscellaneous) (Q4)
92;12100154811;Revista Colombiana de Gastroenterologia;1209957;Q4;11;100;Colombia;Asociacion Colombiana de Gastroenterologia;2008-2021;Gastroenterology (Q4)
93;21100899925;Nomadas;25394762, 01217550;Q3;2;18;Colombia;Instituto de Estudios Sociales Contemporaneos;2018-2021;"Cultural Studies (Q3); Philosophy (Q3); Anthropology (Q4); Education (Q4); Psychology (miscellaneous) (Q4); Social Sciences (miscellaneous) (Q4)"
